Player,Team,Season,Matches,Runs,Average,StrikeRate,Wickets,Economy
Virat Kohli,RCB,2018,14,530,48.18,139.3,0,-
Rohit Sharma,MI,2018,14,286,23.83,126.5,0,
MS Dhoni,CSK,2018,16,455,75.83,150.6,0,
David Warner,SRH,2018,0,-,-,-,-,-
KL Rahul,KXIP,2018,14,659,54.91,158.4,0,
Andre Russell,KKR,2018,16,316,28.72,184.8,17,8.98
Hardik Pandya,MI,2018,13,260,23.63,191.1,12,9.15
Jasprit Bumrah,MI,2018,14,14,7,77.8,17,6.88
Rashid Khan,SRH,2018,17,222,31.71,151,21,6.73
Shikhar Dhawan,SRH,2018,16,297,35.5,139.3,0,-
Surya Kumar Yadav,MI,2018,14,512,36.57,133.9,0,_
Sanju Samson ,RR,2018,15,441,33.92,137.8,0,_
Rishabh Pant,DC,2018,14,684,52.61,173.6,0,_
Shreyas Iyer,DC,2018,12,411,34.25,132.4,0,_
Mohammad Shami,PBKS,2018,14,_,_,_,19,8.01
Yuzvendra Chahal,RCB,2018,14,0,_,_,12,7.7
Faf du Plessis,CSK,2018,16,441,33.92,136.1,0,-
Jos Buttler,RR,2018,13,548,54.8,155.8,0,-
Glenn Maxwell,KXIP,2018,13,169,14.08,173.1,10,8.82
Ravindra Jadeja,CSK,2018,16,206,23.2,127.1,15,7.36
Bhuvneshwar Kumar,SRH,2018,12,0,-,-,12,7.23
Trent Boult,MI,2018,16,0,-,-,18,7
Ajinkya Rahane,RR,2018,15,370,28.46,130.7,0,-
Mayank Agarwal,PBKS,2018,11,196,17.81,122.5,0,-
Ishan Kishan,MI,2018,14,275,22.91,149.4,0,-
Prithvi Shaw,DC,2018,9,161,20.12,155.7,0,-
Deepak Chahar,CSK,2018,12,0,-,-,10,7.59
AB de Villiers,RCB,2018,16,480,53.33,174.39,0,-
Chris Gayle,KXIP,2018,11,368,33.45,145.45,0,-
Kieron Pollard,MI,2018,16,133,19,133,13,8.45
Sunil Narine,KKR,2018,16,357,22.31,189.36,17,7.65
Quinton de Kock,MI,2018,16,529,35.26,132.9,0,-
Ben Stokes,RR,2018,13,196,21.77,119.5,8,8.88
Eoin Morgan,KKR,2018,16,176,17.6,122.2,0,
Aaron Finch,RR,2018,16,418,27.86,134.6,0,-
Steve Smith,RPS,2018,4,147,36.75,147,0,-
Kane Williamson,SRH,2018,17,735,52.5,142.44,0,-
Pat Cummins,KKR,2018,12,63,9,172.6,15,8.29
Shubman Gill,KKR,2018,13,203,33.83,146,0,-
Rinku Singh,KKR,2018,4,29,9.66,90.6,0,-
Washington Sundar,SRH,2018,7,65,13,120.3,8,7.88
Rahul Tripathi,SRH,2018,5,107,26.75,137.1,0,-
Nitish Rana,MI,2018,15,304,21.71,130.4,0,-
Axar Patel,DC,2018,9,80,20,129,8,7.59
Kuldeep Yadav,KKR,2018,16,0,-,-,17,8.24
Mohammed Siraj,RCB,2018,11,0,-,-,11,9.08
Harshal Patel,RCB,2018,0,-,-,-,-,-
Prasidh Krishna,KKR,2018,4,0,-,-,4,9.14
T Natarajan,SRH,2018,0,-,-,-,-,-
Shardul Thakur,CSK,2018,16,123,15.37,139.7,15,9.23
Krunal Pandya,MI,2018,14,228,18.61,137.3,12,7.07
Deepak Hooda,SRH,2018,3,84,42,173.6,0,-
Virat Kohli,RCB,2019,14,464,33.14,141.6,0,-
Rohit Sharma,MI,2019,15,405,28.92,128.9,0,
MS Dhoni,CSK,2019,15,416,83.2,134.2,0,
David Warner,SRH,2019,12,692,69.2,143.8,0,
KL Rahul,KXIP,2019,14,593,53.9,135.4,0,
Andre Russell,KKR,2019,14,510,56.66,204.8,11,10.4
Hardik Pandya,MI,2019,16,402,28.71,191.4,14,9.17
Jasprit Bumrah,MI,2019,16,19,9.5,95,19,6.63
Rashid Khan,SRH,2019,15,34,11.33,120,17,6.28
Shikhar Dhawan,DC,2019,16,521,32.56,132.9,0,_
Surya Kumar Yadav,MI,2019,16,424,32.61,130.2,0,_
Rishabh Pant,DC,2019,16,488,37.54,162.7,0,_
Sanju Samson ,RR,2019,14,342,26.3,148,0,_
Shreyas Iyer,DC,2019,16,463,30.86,119.3,0,_
Mohammad Shami,PBKS,2019,15,0,_,_,19,8.57
Yuzvendra Chahal,RCB,2019,14,0,_,_,18,7.82
Faf du Plessis,CSK,2019,12,396,36,123.7,0,-
Jos Buttler,RR,2019,8,311,38.87,152.4,0,-
Glenn Maxwell,KXIP,2019,13,108,13.5,106.9,0,-
Ravindra Jadeja,CSK,2019,16,282,31.33,120.5,15,7.61
Bhuvneshwar Kumar,SRH,2019,17,0,-,-,11,7.51
Trent Boult,MI,2019,16,0,-,-,13,7.63
Ajinkya Rahane,RR,2019,14,393,32.75,137.4,0,-
Mayank Agarwal,PBKS,2019,16,424,26.5,134.1,0,-
Ishan Kishan,MI,2019,7,101,20.2,134.7,0,-
Prithvi Shaw,DC,2019,16,353,22.06,133.7,0,-
Deepak Chahar,CSK,2019,17,0,-,-,22,7.82
AB de Villiers,RCB,2019,13,442,44.2,154.18,0,-
Chris Gayle,KXIP,2019,13,490,40.83,133.88,0,-
Kieron Pollard,MI,2019,16,279,31,150.81,15,8.79
Sunil Narine,KKR,2019,12,135,13.5,153.41,10,7.82
Quinton de Kock,MI,2019,16,529,35.26,132.9,0,-
Kagiso Rabada,DC,2019,12,0,-,-,25,8.25
Sam Curran,PBKS,2019,11,95,13.57,95.9,10,10
Ben Stokes,RR,2019,9,123,17.57,120.6,6,9.09
Eoin Morgan,KKR,2019,9,92,13.14,118.9,0,-
Aaron Finch,RCB,2019,11,268,24.36,135.7,0,-
Steve Smith,RR,2019,12,319,31.9,126.1,0,-
Kane Williamson,SRH,2019,9,156,22.28,131.1,0,-
Pat Cummins,KKR,2019,9,44,8.8,141.9,11,8.9
Shubman Gill,KKR,2019,14,296,24.66,124.8,0,-
Rinku Singh,KKR,2019,5,37,12.33,111.5,0,-
Abhishek Sharma,SRH,2019,3,46,15.33,132.6,0,-
Washington Sundar,RCB,2019,8,30,10,88.2,9,7.61
Arshdeep Singh,PBKS,2019,3,0,-,-,3,9.22
Shivam Dube,CSK,2019,4,40,20,122.5,0,-
Rahul Tripathi,RR,2019,14,357,27.46,135.2,0,-
Nitish Rana,KKR,2019,14,344,26.46,131.6,0,-
Axar Patel,DC,2019,15,206,20.6,131.2,5,7.45
Kuldeep Yadav,KKR,2019,9,0,-,-,4,8.66
Avesh Khan,DC,2019,5,0,-,-,1,9
Mohammed Siraj,RCB,2019,9,0,-,-,7,9.15
Harshal Patel,RCB,2019,3,0,-,-,1,9.22
Varun Chakravarthy,KKR,2019,4,0,-,-,4,6.84
Prasidh Krishna,KKR,2019,11,0,-,-,4,9.14
T Natarajan,SRH,2019,0,-,-,-,-,-
Shardul Thakur,CSK,2019,16,123,15.37,139.7,19,9.12
Krunal Pandya,MI,2019,16,183,15.25,136.6,13,7.34
Deepak Hooda,PBKS,2019,14,64,10.66,96.9,0,-
Virat Kohli,RCB,2020,15,466,42.36,121.4,0,-
Rohit Sharma,MI,2020,12,332,27.66,127.7,0,
MS Dhoni,CSK,2020,14,200,25,116.3,0,
David Warner,SRH,2020,16,548,39.14,134,0,
KL Rahul,KXIP,2020,14,670,55.83,129.3,0,
Andre Russell,KKR,2020,10,117,13,144.4,6,9.96
Hardik Pandya,MI,2020,14,281,35.12,178.3,0,-
Jasprit Bumrah,MI,2020,15,8,4,80,27,6.73
Rashid Khan,SRH,2020,16,57,19,133.7,20,5.37
Shikhar Dhawan,DC,2020,17,618,44.14,144.7,0,_
Surya Kumar Yadav,MI,2020,16,480,40,145.8,0,_
Rishabh Pant,DC,2020,14,343,31.18,113.4,0,_
Sanju Samson ,RR,2020,14,375,28.55,158.3,0,_
Shreyas Iyer,DC,2020,17,519,34.6,123,0,_
Mohammad Shami,PBKS,2020,14,0,,,20,8.57
Yuzvendra Chahal,RCB,2020,15,0,,,21,7.05
Faf du Plessis,CSK,2020,13,449,40.81,140.3,0,-
Jos Buttler,RR,2020,13,328,25.23,144.7,0,-
Glenn Maxwell,PBKS,2020,11,108,15.42,101.8,0,-
Ravindra Jadeja,CSK,2020,14,232,46.4,171.3,6,7.42
Bhuvneshwar Kumar,SRH,2020,11,0,-,-,12,7.97
Trent Boult,MI,2020,15,0,-,-,25,6.97
Ajinkya Rahane,CSK,2020,9,113,16.14,105.6,0,-
Mayank Agarwal,KXIP,2020,11,424,45.77,156.4,0,-
Ishan Kishan,MI,2020,14,516,57.33,145.8,0,-
Ruturaj Gaikwad,CSK,2020,6,204,51,120,0,-
Prithvi Shaw,DC,2020,13,228,17.53,136.5,0,-
Deepak Chahar,CSK,2020,14,0,-,-,12,7.97
AB de Villiers,RCB,2020,15,454,45.4,158.87,0,-
Chris Gayle,KXIP,2020,7,288,41.14,137.82,0,-
Kieron Pollard,MI,2020,16,268,29.77,161.44,4,8.2
Sunil Narine,KKR,2020,10,121,15.12,138.5,5,8.22
Marcus Stoinis,LSG,2020,17,352,25.14,148.1,13,9.16
Kagiso Rabada,DC,2020,17,0,-,-,30,8.34
Quinton de Kock,MI,2020,16,503,31.43,140.3,0,-
Sam Curran,CSK,2020,14,186,23.25,123.2,13,8.21
Ben Stokes,RR,2020,8,285,40.71,142.5,2,9.45
Eoin Morgan,KKR,2020,14,418,41.8,138.6,0,-
Aaron Finch,SRH,2020,12,191,15.91,123.2,0,-
Steve Smith,DC,2020,8,311,48.14,136.4,0,-
Kane Williamson,SRH,2020,12,317,28.81,126.3,0,-
Pat Cummins,KKR,2020,14,146,20.85,160.4,12,8.28
Shubman Gill,KKR,2020,14,440,33.84,118.9,0,-
Yashasvi Jaiswal,RR,2020,3,40,13.33,105.2,0,-
Rinku Singh,KKR,2020,1,11,11,183.3,0,-
Devdutt Padikkal,RCB,2020,15,473,31.53,124.8,0,-
Abhishek Sharma,SRH,2020,8,86,12.28,133.3,0,-
Washington Sundar,RCB,2020,15,111,13.87,119.3,8,8.05
Arshdeep Singh,PBKS,2020,8,0,-,-,9,8.61
Shivam Dube,RCB,2020,11,129,21.5,120.6,4,8.94
Rahul Tripathi,KKR,2020,15,375,28.84,136.3,0,-
Nitish Rana,KKR,2020,14,352,25.14,138.1,0,-
Axar Patel,DC,2020,15,117,14.62,124.5,9,6.73
Kuldeep Yadav,KKR,2020,5,0,-,-,1,8.9
Avesh Khan,DC,2020,6,0,-,-,2,8.61
Mohammed Siraj,RCB,2020,9,0,-,-,11,8.95
Harshal Patel,RCB,2020,15,0,-,-,10,8.65
Varun Chakravarthy,KKR,2020,13,0,-,-,17,7.31
Prasidh Krishna,KKR,2020,4,0,-,-,6,8.87
T Natarajan,SRH,2020,16,0,-,-,16,8.02
Shardul Thakur,CSK,2020,13,123,17.57,153.7,13,9.17
Krunal Pandya,MI,2020,16,109,13.62,108.9,6,7.38
Deepak Hooda,PBKS,2020,7,101,16.83,144.2,0,-
Virat Kohli,RCB,2021,15,405,28.92,119.9,0,-
Rohit Sharma,MI,2021,13,381,29.3,127.4,0,
MS Dhoni,CSK,2021,16,114,16.28,106.5,0,
David Warner,SRH,2021,8,195,24.37,107.7,0,
KL Rahul,LSG,2021,16,626,51.23,138.8,0,
Andre Russell,KKR,2021,19,183,16.63,152.5,18,9.11
Hardik Pandya,GT,2021,15,353,44.12,131.3,8,8.58
Jasprit Bumrah,MI,2021,14,28,14,93.3,21,7.17
Rashid Khan,GT,2021,17,91,18.2,146.7,23,6.59
Shikhar Dhawan,DC,2021,16,587,36.68,124.6,0,
Surya Kumar Yadav,MI,2021,14,317,22.64,143.2,0,
Rishabh Pant,DC,2021,16,419,34.91,128.5,0,
Sanju Samson,RR,2021,14,484,40.33,136.7,0,
Shreyas Iyer ,KKR,2021,8,175,31.8,105.4,0,
Mohammad Shami,GT,2021,16,0,,,19,8.11
Yuzvendra Chahal,RR,2021,15,0,,,18,7.05
Faf du Plessis,CSK,2021,16,633,45.21,138.2,0,-
Jos Buttler,RR,2021,7,254,36.28,150.8,0,-
Glenn Maxwell,RCB,2021,15,513,42.75,144.1,3,8.15
Ravindra Jadeja,CSK,2021,16,227,75.66,145.5,13,7.06
Bhuvneshwar Kumar,SRH,2021,11,0,-,-,6,7.94
Trent Boult,RR,2021,16,0,-,-,13,8.06
Ajinkya Rahane,CSK,2021,14,394,30.3,133.6,0,-
Mayank Agarwal,PBKS,2021,12,441,40.09,141.5,0,-
Ishan Kishan,MI,2021,10,241,26.77,133.1,0,-
Ruturaj Gaikwad,CSK,2021,16,635,45.35,136.3,0,-
Prithvi Shaw,DC,2021,15,479,31.93,159.7,0,-
Deepak Chahar,CSK,2021,15,0,-,-,14,8.09
AB de Villiers,RCB,2021,15,313,31.3,148.81,0,-
Chris Gayle,PBKS,2021,11,193,21.44,133.1,0,-
Kieron Pollard,MI,2021,16,245,18.84,107.45,5,8.44
Sunil Narine,KKR,2021,14,208,20.8,133.33,16,6.44
Marcus Stoinis,DC,2021,10,96,16,143.2,2,8.5
Kagiso Rabada,DC,2021,15,0,-,-,15,8.14
Quinton de Kock,MI,2021,17,297,19.8,122.3,0,-
Sam Curran,CSK,2021,9,56,11.2,97.5,9,9
Eoin Morgan,KKR,2021,17,133,11.08,99.2,0,-
Aaron Finch,KKR,2021,7,86,12.28,108.8,0,-
Steve Smith,DC,2021,6,152,25.33,112.6,0,-
Kane Williamson,SRH,2021,10,266,44.33,104.7,0,-
Pat Cummins,KKR,2021,7,93,31,171.1,9,8.34
Shubman Gill,KKR,2021,17,478,28.11,119.1,0,-
Yashasvi Jaiswal,RR,2021,10,249,24.9,148.2,0,-
Rinku Singh,KKR,2021,17,251,20.91,145.1,0,-
Devdutt Padikkal,RCB,2021,14,411,31.61,125.6,0,-
Abhishek Sharma,SRH,2021,8,133,16.62,136,0,-
Washington Sundar,SRH,2021,6,28,7,84.8,3,8.94
Arshdeep Singh,PBKS,2021,12,0,-,-,18,8.59
Shivam Dube,RR,2021,15,230,26.5,136.9,4,9.16
Rahul Tripathi,KKR,2021,17,413,29.5,141.8,0,-
Nitish Rana,KKR,2021,17,383,29.46,122.8,0,-
Axar Patel,DC,2021,16,137,19.57,118.1,15,6.65
Kuldeep Yadav,DC,2021,0,-,-,-,-,-
Avesh Khan,DC,2021,16,0,-,-,24,8.54
Mohammed Siraj,RCB,2021,15,0,-,-,11,6.78
Harshal Patel,RCB,2021,15,0,-,-,32,8.14
Varun Chakravarthy,KKR,2021,17,0,-,-,18,6.58
Prasidh Krishna,RR,2021,9,0,-,-,10,8.29
T Natarajan,SRH,2021,2,0,-,-,2,9
Shardul Thakur,CSK,2021,16,123,17.57,159.7,21,8.61
Krunal Pandya,MI,2021,13,143,14.3,99.3,5,7.17
Venkatesh Iyer,KKR,2021,10,370,41.11,128,4,8.08
Deepak Hooda,RR,2021,12,123,17.57,137,1,8.66
Virat Kohli,RCB,2022,16,341,22.73,115.9,0,-
Rohit Sharma,MI,2022,14,268,19.14,120.7,0,
MS Dhoni,CSK,2022,14,232,33.14,135.7,0,
David Warner,DC,2022,12,432,48,150.2,0,
KL Rahul,LSG,2022,15,616,51.33,135.4,0,
Andre Russell,KKR,2022,14,335,37.22,174.2,17,9.88
Hardik Pandya,GT,2022,15,487,44.27,131.3,8,8.2
Jasprit Bumrah,MI,2022,0,-,-,-,-,-
Rashid Khan,GT,2022,16,284,40.57,144.6,19,6.59
Shikhar Dhawan,PBKS,2022,14,460,32.85,122.8,0,
Surya Kumar Yadav,MI,2022,8,303,43.29,145.6,0,
Rishabh Pant,DC,2022,14,340,30.96,151.1,0,
Sanju Samson,RR,2022,17,458,28.62,134.9,0,
Shreyas Iyer ,KKR,2022,14,401,30.84,134.9,0,
Mohammad Shami,GT,2022,16,0,,,20,7.85
Yuzvendra Chahal,RR,2022,17,0,,,27,7.75
Faf du Plessis,RCB,2022,16,468,31.2,127.5,0,-
Jos Buttler,RR,2022,17,863,57.53,149,0,-
Glenn Maxwell,RCB,2022,13,301,27.36,169.6,6,8.2
Ravindra Jadeja,CSK,2022,10,116,29,118.3,5,7.51
Bhuvneshwar Kumar,SRH,2022,14,0,-,-,12,8.06
Trent Boult,RR,2022,16,0,-,-,13,8.29
Ajinkya Rahane,KKR,2022,7,133,19,103.9,0,-
Mayank Agarwal,PBKS,2022,13,196,16.33,122.1,0,-
Ishan Kishan,MI,2022,14,418,32.15,120,0,-
Tilak Varma,MI,2022,14,397,36.09,131.1,0,-
Ruturaj Gaikwad,CSK,2022,14,368,26.28,126.3,0,-
Prithvi Shaw,DC,2022,10,283,28.3,152.4,0,-
Deepak Chahar,CSK,2022,1,0,-,-,0,-
Marcus Stoinis,LSG,2022,14,156,15.6,147.1,4,9.62
Kagiso Rabada,PBKS,2022,13,0,-,-,23,8.46
Quinton de Kock,LSG,2022,15,508,36.28,148.9,0,-
Shubman Gill,GT,2022,16,483,34.5,132.3,0,-
Yashasvi Jaiswal,RR,2022,10,258,25.8,136.8,0,-
Rinku Singh,KKR,2022,7,174,34.8,148.7,0,-
Devdutt Padikkal,RR,2022,17,376,22.11,122.8,0,-
Abhishek Sharma,SRH,2022,14,426,30.42,133.5,2,8.1
Washington Sundar,SRH,2022,9,101,14.42,115.9,6,7.54
Arshdeep Singh,PBKS,2022,14,0,-,-,10,9.17
Shivam Dube,CSK,2022,11,289,28.9,156.8,0,-
Rahul Tripathi,SRH,2022,14,413,31.77,158.4,0,-
Nitish Rana,KKR,2022,14,361,27.77,143.9,0,-
Axar Patel,DC,2022,13,182,22.75,138.3,6,7.01
Kuldeep Yadav,DC,2022,14,0,-,-,21,8.44
Avesh Khan,LSG,2022,13,0,-,-,18,8.75
Mohammed Siraj,RCB,2022,15,0,-,-,9,8.57
Harshal Patel,RCB,2022,16,0,-,-,19,7.65
Varun Chakravarthy,KKR,2022,11,0,-,-,6,7.78
Prasidh Krishna,RR,2022,17,0,-,-,19,8.52
T Natarajan,SRH,2022,11,0,-,-,18,9.43
Shardul Thakur,DC,2022,14,120,15,138.2,15,9.79
Krunal Pandya,LSG,2022,14,183,18.3,113.5,10,7.41
Venkatesh Iyer,KKR,2022,12,182,16.54,107.7,0,-
Deepak Hooda,LSG,2022,15,451,41,136.3,0,-
Virat Kohli,RCB,2023,14,639,53.25,139.8,0,-
Rohit Sharma,MI,2023,16,332,20.75,132.1,0,
MS Dhoni,CSK,2023,14,104,34.66,182.4,0,
David Warner,DC,2023,14,516,36.85,131.2,0,
KL Rahul,LSG,2023,9,274,34.25,113.2,0,
Andre Russell,KKR,2023,14,227,20.63,145.5,11,9.23
Hardik Pandya,GT,2023,16,346,31.45,136.8,3,8.1
Jasprit Bumrah,MI,2023,14,16,8,92.1,20,6.65
Rashid Khan,GT,2023,17,130,26,152.9,27,8.23
Shikhar Dhawan,PBKS,2023,14,373,41.44,142,0,
Surya Kumar Yadav,MI,2023,16,605,43.21,181.1,0,
Rishabh Pant,DC,2023,0,,,,0,
Sanju Samson,RR,2023,14,362,30.16,153.6,0,
Shreyas Iyer ,KKR,2023,0,,,,0,
Mohammad Shami,GT,2023,17,0,,,28,8.03
Yuzvendra Chahal,RR,2023,14,0,,,21,8.18
Faf du Plessis,RCB,2023,14,730,56.15,153.9,0,-
Jos Buttler,RR,2023,14,392,28,139.6,0,-
Glenn Maxwell,RCB,2023,14,400,33.33,183.5,3,8.88
Ravindra Jadeja,CSK,2023,16,190,23.75,142.8,20,7.56
Bhuvneshwar Kumar,SRH,2023,14,0,-,-,16,8.33
Trent Boult,RR,2023,10,0,-,-,8,8.26
Ajinkya Rahane,CSK,2023,14,326,32.6,172.5,0,-
Mayank Agarwal,SRH,2023,10,270,27,132.4,0,-
Ishan Kishan,MI,2023,16,454,30.26,142.8,0,-
Tilak Varma,MI,2023,14,343,42.87,164.9,0,-
Ruturaj Gaikwad,CSK,2023,16,590,42.14,147.5,0,-
Prithvi Shaw,DC,2023,8,106,13.25,125.3,0,-
Deepak Chahar,CSK,2023,10,0,-,-,13,8.74
Marcus Stoinis,LSG,2023,15,408,40.8,150,5,9.45
Kagiso Rabada,PBKS,2023,14,0,-,-,7,8.72
Quinton de Kock,LSG,2023,14,264,22,134.5,0,-
Sam Curran,PBKS,2023,14,276,27.6,135.3,10,9.95
Shubman Gill,GT,2023,17,890,59.33,157.8,0,-
Ben Stokes,CSK,2023,2,15,7.5,107.1,0,-
Yashasvi Jaiswal,RR,2023,14,625,48.07,163.6,0,-
Rinku Singh,KKR,2023,14,474,59.25,149.5,0,-
Devdutt Padikkal,RR,2023,11,261,23.72,130.5,0,-
Abhishek Sharma,SRH,2023,11,226,20.54,127.1,0,-
Washington Sundar,SRH,2023,7,60,12,112.4,3,7.83
Arshdeep Singh,PBKS,2023,14,0,-,-,17,8.95
Shivam Dube,CSK,2023,16,418,38,158.7,0,-
Rahul Tripathi,SRH,2023,13,273,22.75,128.6,0,-
Nitish Rana,KKR,2023,14,413,31.77,140,0,-
Axar Patel,DC,2023,14,283,31.44,139.4,11,7.54
Kuldeep Yadav,DC,2023,14,0,-,-,10,7.24
Avesh Khan,LSG,2023,15,0,-,-,13,9.1
Mohammed Siraj,RCB,2023,14,0,-,-,19,7.52
Harshal Patel,PBKS,2023,14,0,-,-,14,9.65
Varun Chakravarthy,KKR,2023,14,0,-,-,20,8.14
Prasidh Krishna,RR,2023,0,-,-,-,-,-
Mukesh Kumar,DC,2023,10,0,-,-,7,10.4
T Natarajan,SRH,2023,10,0,-,-,10,8.62
Shardul Thakur,KKR,2023,11,89,14.83,138,7,10.71
Krunal Pandya,LSG,2023,12,188,23.5,121.3,9,7.62
Venkatesh Iyer,KKR,2023,14,404,33.66,145.5,2,8.54
Deepak Hooda,LSG,2023,12,84,10.5,113.5,0,-
Virat Kohli,RCB,2024,15,741,61.75,154.7,0,-
Rohit Sharma,MI,2024,14,417,32.07,150,0,
MS Dhoni,CSK,2024,14,161,53.66,220.5,0,
David Warner,DC,2024,8,168,21,134.4,0,
KL Rahul,LSG,2024,14,520,40,136.9,0,
Andre Russell,KKR,2024,15,222,22.2,185,19,9.15
Hardik Pandya,MI,2024,14,216,18,143.2,11,10.75
Jasprit Bumrah,MI,2024,13,6,6,75,20,6.48
Rashid Khan,GT,2024,12,216,36,152,18,7.82
Shikhar Dhawan,PBKS,2024,13,352,29.83,135.6,0,
Surya Kumar Yadav,MI,2024,14,354,31.36,167.4,0,
Rishabh Pant,DC,2024,16,446,40.55,155.8,0,
Sanju Samson,RR,2024,16,531,48.27,158.9,0,
Shreyas Iyer ,KKR,2024,14,351,29.25,140.2,0,
Mohammad Shami,GT,2024,0,,,,,
Yuzvendra Chahal,RR,2024,15,0,,,18,8.11
Faf du Plessis,RCB,2024,15,475,35.5,142.6,0,-
Jos Buttler,RR,2024,14,359,32.63,140.4,0,-
Glenn Maxwell,RCB,2024,10,251,31.37,186.6,6,9.35
Ravindra Jadeja,CSK,2024,14,267,44.5,142,18,7.92
Bhuvneshwar Kumar,SRH,2024,16,0,-,-,11,9.03
Trent Boult,RR,2024,14,0,-,-,16,8.1
Ajinkya Rahane,CSK,2024,13,242,22,138.1,0,-
Mayank Agarwal,SRH,2024,12,225,20.45,128.7,0,-
Ishan Kishan,MI,2024,14,320,26.66,136.9,0,-
Tilak Varma,MI,2024,14,416,41.6,149.6,0,-
Ruturaj Gaikwad,CSK,2024,14,583,53,141.2,0,-
Prithvi Shaw,DC,2024,7,198,28.28,148.6,0,-
Deepak Chahar,CSK,2024,8,0,-,-,8,8.6
Marcus Stoinis,LSG,2024,14,388,38.8,146.5,4,9.9
Kagiso Rabada,PBKS,2024,11,0,-,-,11,8.6
Quinton de Kock,LSG,2024,13,381,31.75,142.1,0,-
Sam Curran,PBKS,2024,13,270,24.54,128.4,16,9.3
Shubman Gill,GT,2024,14,426,30.42,147.8,0,-
Yashasvi Jaiswal,RR,2024,15,435,31.07,155.2,0,-
Rinku Singh,KKR,2024,15,354,39.33,160.1,0,-
Abhishek Sharma,SRH,2024,16,484,32.26,156,2,7.9
Washington Sundar,SRH,2024,12,179,22.37,138.8,8,7.21
Arshdeep Singh,PBKS,2024,14,0,-,-,19,9.02
Shivam Dube,CSK,2024,14,396,36,164.3,0,-
Rahul Tripathi,SRH,2024,14,312,26,134.7,0,-
Nitish Rana,KKR,2024,13,262,20.15,127.6,0,-
Axar Patel,DC,2024,14,249,27.66,142.7,10,7.61
Kuldeep Yadav,DC,2024,12,0,-,-,15,7.98
Avesh Khan,RR,2024,14,0,-,-,19,8.66
Mohammed Siraj,RCB,2024,14,0,-,-,15,8.01
Harshal Patel,PBKS,2024,14,0,-,-,18,8.94
Varun Chakravarthy,KKR,2024,14,0,-,-,18,7.92
Prasidh Krishna,RR,2024,10,0,-,-,15,8.61
Mukesh Kumar,DC,2024,14,0,-,-,17,9.85
T Natarajan,SRH,2024,14,0,-,-,19,9.11
Shardul Thakur,CSK,2024,9,64,12.8,133.3,9,9.86
Krunal Pandya,LSG,2024,14,204,22.66,126.8,11,7.55
Venkatesh Iyer,KKR,2024,14,357,29.75,158.3,1,9.1
Deepak Hooda,LSG,2024,11,145,20.71,138.2,0,-
